Name,School,Power,Link,Hometown
Jonathan Tan,Pacific,24.7,/swimmer/418653,"San Ramon, CA"
Daniel Pry,UCSB,16.57,/swimmer/433193,"Redlands, CA"
Christian Schroeder,Pacific,38.1,/swimmer/423752,"Menlo Park, CA"
Dominic Falcon,UCSB,-1.0,,
Adrian Paseta,CSUB,16.8,/swimmer/873073,"Bakersfield, CA"
Zachary Serrano,CSUB,-1.0,,
Gennady Sytnik,Cal Poly,11.52,/swimmer/349217,"Walnut Creek, CA"
Aj Dolan,Pacific,-1.0,,
Mark Anthony Beckles,Howard,23.32,/swimmer/510513,TRI
Peter Jones,Mt St Mary's,-1.0,,
Ryan Griffiths,Mt St Mary's,28.77,/swimmer/413873,"Mechanicsville, VA"
Eric Bebel,Bryant U (M),29.78,/swimmer/395568,"Westfield , NJ"
Dom Scifo,Bryant U (M),-1.0,,
Arion Solomon,Howard,14.02,/swimmer/433265,"Fairburn, GA"
Fu Kang Wong,Bryant U (M),-1.0,,
KEVIN CLAIBORNE,Howard,-1.0,,
Reese Samuel,Howard,30.62,/swimmer/547277,"Pittsburgh, PA"
John Mata,Mt St Mary's,-1.0,,
T'lez Foulkes,Howard,-1.0,,
Jackson McDonough,Bryant U (M),34.7,/swimmer/477851,"Lincoln, RI"
Miguel Davis,Howard,-1.0,,
Ryan Burke,Bryant U (M),-1.0,,
Marko Danev,St. Francis,28.94,/swimmer/571174,"Kruševac, SRB"
Griffin Distler,Mt St Mary's,52.01,/swimmer/891915,"Annapolis, MD"
Luke-Kennedy Thompson,Howard,-1.0,,
Steven Dawkins,St. Francis,100.0,/swimmer/1184665,"Schriesheim, DEU"
Josiah Scott,Howard,65.71,/swimmer/628486,"Cedar Park, TX"
Austin Dodd,Mt St Mary's,38.63,/swimmer/495495,"hanover, PA"
Alex Henager,Mt St Mary's,-1.0,,
Meriton Veliu,St. Francis,-1.0,,
